id,label
1,"ongoing growth in spatial risk exposure through progressing land take, urban sprawl, and soil sealing due to expansion of settlement areas and dispersed settlement development"
2,"missing approaches and provisions for dealing in a responsible, preventive way with residual risk in spatial planning and in building regulations"
3,lack of risk-oriented approaches in spatial planning and land use planning
4,"regulations for dealing with designated, but undeveloped building land and existing buildings in hazard zones and residual risk zones"
5,securing green spaces (within and outside of settlements) and employing their multifunctional ecosystem-based services for hazard prevention and climate adaptation
6,securing (and restoring) flood runoff and flood retention areas
7,legal coupling of hazard mapping with spatial planning
8,instruments and measures for prevention of risks to settlements from pluvial flooding (‘urban flash floods’)
9,inter-municipal and regional cooperation models for risk management and adaptation measures with cross-municipal land demands
10,clear risk communication and active role in risk governance processes
11,strengthening basic research on climate-induced natural hazards and climate risks in spatial planning
12,strengthening capacities and qualification of planners to deal with climate risk issues
13,"strengthening horizontal, vertical and participatory governance"
14,policy framework for integrated forest fire management at national and/or subnational level
15,mainstreaming of forest fire risk management in other relevant sector policies
16,"research, data base and monitoring regarding forest fire hazards"
17,risk assessments and early warning systems
18,preventive forest management to increase resistance and resilience of forests against fires
19,integrated preventive planning and management across sectors
20,development of infrastructure and capacity for fire prevention and efficient responses in risk areas
21,measures for building and enhancing fire suppression capacities
22,post-fire management
23,"cooperation, actors alliances, governance"
24,target group-specific public communication and awareness-raising
25,transnational cooperation and knowledge transfer
26,private risk precaution & behaviour of citizens
27,voluntary organizations
28,municipal resilience planning
29,protection of critical infrastructure
30,disaster relief operations
31,monitoring and early warning systems
32,"trainings, education, and learning from past events"
33,financing and funding instruments
34,insurances
35,participative risk governance
36,national disaster management
37,national risk assessments
38,risk communication
39,information and knowledge management
40,"early warning, forecasting and alert systems"
41,financing and insurance
42,"research, knowledge, information management and learning"
43,legislation and standards
44,proactive and centrally steered risk governance
45,participative (residual) risk governance
46,providing improved hazard and risk information to strengthen risk prevention in spatial planning and land use planning
47,"improving hazard assessments towards multi-hazards, climate change influences, and integrated risk assessment"
48,"risk communication, awareness raising and building a (residual) risk culture"
49,structural protection measures
50,policy framework and planning instruments for protection forests
51,integration of protection forest management with sector planning
52,"implementation-oriented policy framework (programmes, instruments, management concepts, action portfolios) for increasing stability, climate resilience and adaptive capacity of forest ecosystems"
53,"adaptive management of protection forests: active silvicultural strategies for maintaining, restoring and enhancing protection functions under climate change"
54,site- and climate-adapted choice of tree provenances
55,developing and providing practice-oriented knowledge and decision-making basis for climate-resilient forest management and stewardship of protection forests
56,"monitoring, risk assessment and early warning systems for improving disturbance and calamity management (biotic und abiotic damage events) in protection forests"
57,"focussing disturbance and calamity management in protection forests on precaution, prevention and preparedness measures"
58,adjustment of disturbance and calamity management after occurance of biotic and abiotic damage events
59,"reduction of game damage to enable climate-adapted, natural forest regeneration, resilient tree species mixes and maintenance of stand stability"
60,"reduction of other anthropogenic, climate-independent stressors on forest ecosystems"
61,"education, training and advisory services for climate-adapted management of protection forests"
62,"communication, dialogue and governance on protection forests"
63,financing of restoration and management of protection forests
